case_name,seed,split,knot_index,knot_time,slow_pc_step_index,hidden_state_rms_gap_total,hidden_state_rms_gap_rowspace,hidden_state_rms_gap_orthogonal,hidden_state_gap_rowspace_fraction,output_state_rms_gap
same_geometry_penultimate_only_reference,3,validation,1,0.25,4,0.07412992629921188,0.039128420755729386,0.06296199379220124,0.5278356894325603,0.007647051280221543
same_geometry_penultimate_only_reference,3,validation,2,0.5,8,0.14114788076571447,0.07658691959341957,0.11856292840446975,0.54260056316781,0.01488597307011026
same_geometry_penultimate_only_reference,3,validation,3,0.75,11,0.20771750990318205,0.11372891510725343,0.17381685128003457,0.547517227412667,0.02199388912194149
same_geometry_penultimate_only_reference,3,validation,4,1.0,15,0.27946107019559524,0.1510938624330087,0.23509388441629528,0.5406615752500263,0.029104011516598572
same_geometry_penultimate_only_reference,3,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,3,test,1,0.25,4,0.07402432094750262,0.03852237216421689,0.06321097163135875,0.5204015608807355,0.00754818751804716
same_geometry_penultimate_only_reference,3,test,2,0.5,8,0.1409469329130429,0.07534358131141593,0.11911919514823736,0.5345528260476523,0.01467749849948212
same_geometry_penultimate_only_reference,3,test,3,0.75,11,0.2074439684078617,0.1118406729581688,0.17471309023958628,0.5391367790374871,0.021669395564545915
same_geometry_penultimate_only_reference,3,test,4,1.0,15,0.2791538152060601,0.14857452077850877,0.23633125971723581,0.5322317399417846,0.02866252463118737
same_geometry_penultimate_only_reference,4,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,4,validation,1,0.25,4,0.07042517994028084,0.038082371695916134,0.059240517685407015,0.5407493701572255,0.008087901628036777
same_geometry_penultimate_only_reference,4,validation,2,0.5,8,0.1353085161107267,0.07487930095258333,0.11270086433093245,0.5533968083081151,0.015869812442663733
same_geometry_penultimate_only_reference,4,validation,3,0.75,11,0.20022490067046148,0.11188324518377306,0.1660486383432393,0.5587878670890949,0.023670415598097138
same_geometry_penultimate_only_reference,4,validation,4,1.0,15,0.268691536412143,0.149689124380382,0.22313293746498405,0.5571039801967395,0.03162430438446111
same_geometry_penultimate_only_reference,4,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,4,test,1,0.25,4,0.07017772495380598,0.0379305859200472,0.05904391358517793,0.540493239771092,0.00807540819138215
